Table 1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GRANVILLE  MILLS  MILLGATE  PADDOCK  HUDDERSFIELD  HD1  4SD  WEST  YORKSHIRE  ENGLAND,,,,,,,,,,,
,,,,TEL: 01484 428697  FAX: 01484 660538 MOB 07971244713,,,,,,,
KRC INTERNATIONAL LTD,,,,,,DATE…….…:,1/11/19,,,,
LAGOS,,,,,,INVOICE No.:,,NT/NN/01/MX/19,,,
NIGERIA,,,,MIX, GRADE,ORDER No...:,,1,,,
,,,,,,NUMBER OF BALES,,0,,,
,,,,,,,,,,,
CODE,ITEMS,,,UNITS,SIZE,BALES,COST,TOTAL ,,,
LCD,Ladies Cotton Dresses,,,KG,55,,70.00,0.00,,,
LCB,Ladies Cotton Blouses,,,KG,55,,70.00,0.00,,,
LCSK,Ladies Cotton Skirts,,,KG,55,,70.00,0.00,,,
LPD,Ladies Poly Dresses,,,KG,55,,70.00,0.00,,,
LPB,Ladies Poly Blouses,,,KG,55,,70.00,0.00,,,
LPSK,Ladies Poly Skirts,,,KG,55,,70.00,0.00,,,
LCND,Ladies Cotton Night Dresses,,,KG,55,,70.00,0.00,,,
NYCL,Ladies Nylon Clothing,,,KG,55,,70.00,0.00,,,
LMP,Ladies Mixed Pants,,,PCS,200,,70.00,0.00,,,
MTP,Men Tergal Pants,,,PCS,200,,70.00,0.00,,,
MCP,Men Cotton Pants,,,PCS,200,,70.00,0.00,,,
LSB,Ladies Silk Blouse,,,KG,55,,70.00,0.00,,,
LSW,Ladies Swim Wear,,,KG,55,,70.00,0.00,,,
CORD,Cord Pants,,,PCS,100,,70.00,0.00,,,
MSH,Shirts,,,PCS,400,,70.00,0.00,,,
MHS,Men Heavy Shirts,,,PCS,200,,70.00,0.00,,,
AC,Asian Clothing,,,KG,55,,70.00,0.00,,,
CP,Children Pants,,,KG,55,,70.00,0.00,,,
LEATHER,Leather ,,,PCS,75,,35.00,0.00,,,
LDD,Ladies Denim Dress,,,KG,55,,35.00,0.00,,,
LDS,Ladies Denim Skirt ,,,KG,55,,70.00,0.00,,,
CR,Children Rummage,,,KG,55,,70.00,0.00,,,
TOY,Toys,,,KG,741,,17.10,0.00,,,
OSH,Original Shorts/Sports,,,KG,55,,70.00,0.00,,,
WTSH,Women T-Shirt,,,KG,55,,70.00,0.00,,,
CJS,Children Jogging Suits,,,KG,55,,70.00,0.00,,,
CANO,Children Anoraks,,,KG,55,,70.00,0.00,,,
CHKW,Children Knit Wear,,,KG,55,,70.00,0.00,,,
SOX,Paired Socks,,,KG,55,,70.00,0.00,,,
PYJ, Pyjamas,,,KG,55,,70.00,0.00,,,
MX TRA,Mix Training ,,,KG,55,,70.00,0.00,,,
BELT,Belts,,,KG,594,,29.70,0.00,,,
MZJ,Mix Zipper Jackets,,,KG,55,,35.00,0.00,,,
